CustomerID,Name,Age,Gender,MaritalStatus,EducationLevel,EmploymentStatus,AnnualIncome,LoanAmountRequested,PurposeOfLoan,CreditScore,ExistingLoansCount,LatePaymentsLastYear,LoanApproved
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Michelle Prince,56,Male,Divorced,Other,Employed,97622,46413,Personal,500,2,4,Yes
23b8c1e9-3924-46de-beb1-3b9046685257,Diana Mullins,69,Male,Married,Bachelor,Employed,96925,24065,Home,532,2,0,Yes
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Brittany Ballard,46,Female,Single,High School,Self-employed,167927,46676,Personal,795,2,6,Yes
972a8469-1641-4f82-8b9d-2434e465e150,Matthew Freeman,32,Female,Widowed,PhD,Unemployed,112920,27406,Education,376,2,9,No
17fc695a-07a0-4a6e-8822-e8f36c031199,Amy Baker,60,Female,Widowed,Master,Unemployed,152183,49337,Car,517,3,7,No
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Elizabeth Skinner MD,25,Female,Divorced,Other,Retired,78251,13034,Education,673,1,3,Yes
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Riley Davenport,38,Female,Widowed,Bachelor,Student,162480,30477,Home,352,4,6,Yes
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Carla Briggs,56,Male,Widowed,PhD,Employed,175074,30737,Home,557,0,6,No
47378190-96da-4dac-b2ff-5d2a386ecbe0,Diana Myers,36,Male,Widowed,Master,Unemployed,103274,1815,Home,431,4,5,Yes
c241330b-01a9-471f-9e8a-774bcf36d58b,Paul Blair,40,Male,Widowed,Master,Retired,126181,31296,Education,694,3,4,Yes
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,Olivia Gonzalez,28,Female,Single,PhD,Retired,97674,40735,Car,548,3,9,Yes
371ecd7b-27cd-4130-8722-9389571aa876,Xavier Hanson,28,Female,Divorced,Bachelor,Retired,96963,44496,Personal,697,2,3,Yes
1a2a73ed-562b-4f79-8374-59eef50bea63,Chad Taylor,41,Male,Married,Master,Student,87925,17938,Car,368,3,4,Yes
5be6128e-18c2-4797-a142-ea7d17be3111,William Lewis,53,Male,Widowed,Other,Unemployed,35360,36560,Car,722,4,6,No
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,Crystal Robinson,57,Female,Single,High School,Self-employed,122379,23249,Business,639,3,7,No
759cde66-bacf-43d0-8b1f-9163ce9ff57f,John Jones,41,Male,Divorced,Other,Self-employed,150167,39986,Car,673,4,3,Yes
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,Meagan Patterson,20,Female,Married,Master,Retired,167919,40676,Personal,573,2,4,Yes
4b0dbb41-8d52-48f1-942c-3fe860e7a113,Timothy Smith,39,Female,Divorced,High School,Retired,146818,30496,Business,556,2,5,Yes
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,Brenda Mendoza,19,Male,Single,PhD,Student,67565,14460,Car,815,3,8,Yes
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,Nicole Edwards,41,Male,Single,High School,Retired,37456,13254,Business,567,0,9,Yes
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,Amy Ramirez,61,Male,Single,High School,Unemployed,90982,12957,Car,656,2,5,Yes
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,Anthony David,47,Female,Widowed,High School,Retired,119242,38070,Home,607,1,6,Yes
